Time,BUS10Va,BUS10Vb,BUS10Vc,BUS14Va,BUS14Vb,BUS14Vc,BUS6Va,BUS6Vb,BUS6Vc,L2Ia_FLT,L2Ib_FLT,L2Ic_FLT,L6Ia_FLT,L6Ib_FLT,L6Ic_FLT,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT,UCM3PhXabc_0,UCM3PhXabc_1,UCM3PhXabc_2,UCM4PhXabc_0,UCM4PhXabc_1,UCM4PhXabc_2,UCM3Xabc_0,UCM3Xabc_1,UCM3Xabc_2,UCM4Xabc_0,UCM4Xabc_1,UCM4Xabc_2
1.5895448079E-3,1.0552733154E3,-20.729564453E3,9.6243613281E3,8.9372001953E3,-21.090789062E3,11.195110352E3,2.5619040527E3,-20.914896484E3,9.9277304688E3,7.219103165E-3,-19.897468388E-3,11.718539521E-3,-12.977856636E0,-21.050240844E-3,9.2085022479E-3,1.9969057757E-3,-20.845381543E-3,9.8140062764E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,2.5619040527E3,-20.914896484E3,9.9277304688E3,6.8310292969E3,-20.886714844E3,10.862728516E3
1.6395448079E-3,1.2852337646E3,-20.766058594E3,9.3782158203E3,9.2190195312E3,-21.109462891E3,10.904154297E3,2.7883811035E3,-20.959902344E3,9.6564189453E3,7.4887094088E-3,-19.916145131E-3,11.448848993E-3,-9.6697731018E0,-21.160619333E-3,8.8940160349E-3,2.224690048E-3,-20.887197927E-3,9.552131407E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,2.7883811035E3,-20.959902344E3,9.6564189453E3,7.0925170898E3,-20.914972656E3,10.578246094E3
1.6895448079E-3,1.5148925781E3,-20.7974375E3,9.1305419922E3,9.4983193359E3,-21.121986328E3,10.610174805E3,3.0141794434E3,-20.999154297E3,9.3823740234E3,7.7564232051E-3,-19.928565249E-3,11.176039465E-3,-6.360200882E0,-21.266866475E-3,8.5777183995E-3,2.4519369472E-3,-20.923497155E-3,9.2879766598E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,3.0141794434E3,-20.999154297E3,9.3823740234E3,7.3533530273E3,-20.935388672E3,10.29193457E3
1.7395448079E-3,1.7443187256E3,-20.823650391E3,8.8812685547E3,9.7752255859E3,-21.12846875E3,10.313401367E3,3.2406289062E3,-21.031960938E3,9.1069179688E3,8.0226613209E-3,-19.935017452E-3,10.900637135E-3,-3.0515515804E0,-21.368607879E-3,8.2595525309E-3,2.6795030572E-3,-20.953832194E-3,9.0223383158E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,3.2406289062E3,-21.031960938E3,9.1069179688E3,7.6139345703E3,-20.948322266E3,10.004301758E3
1.7895448079E-3,1.9736016846E3,-20.844654297E3,8.6303066406E3,10.049866211E3,-21.129066406E3,10.014083984E3,3.468927002E3,-21.057710938E3,8.8312958984E3,8.2878042012E-3,-19.935818389E-3,10.623145849E-3,254.44078445E-3,-21.465439349E-3,7.9394588247E-3,2.9081706889E-3,-20.977804437E-3,8.7559632957E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,3.468927002E3,-21.057710938E3,8.8312958984E3,7.8745976562E3,-20.954205078E3,9.7158300781E3
1.8395448079E-3,2.2028330078E3,-20.860419922E3,8.3775566406E3,10.322362305E3,-21.123958984E3,9.7124785156E3,3.7000395508E3,-21.075933594E3,8.5565839844E3,8.5521591827E-3,-19.93131265E-3,10.344030336E-3,3.5567836761E0,-21.556967869E-3,7.6173883863E-3,3.1385780312E-3,-20.995106548E-3,8.4894867614E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,3.7000395508E3,-21.075933594E3,8.5565839844E3,8.1355981445E3,-20.953498047E3,9.4269433594E3
1.8895448079E-3,2.4320895996E3,-20.870947266E3,8.122918457E3,10.592814453E3,-21.11334375E3,9.4088339844E3,3.934621582E3,-21.086324219E3,8.2836064453E3,8.8159311563E-3,-19.921815023E-3,10.06366685E-3,6.8552160263E0,-21.642852575E-3,7.2933062911E-3,3.3711630385E-3,-21.005550399E-3,8.2233855501E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,3.934621582E3,-21.086324219E3,8.2836064453E3,8.3970898438E3,-20.946648438E3,9.1379873047E3
1.9395448079E-3,2.6614147949E3,-20.876259766E3,7.8662944336E3,10.861295898E3,-21.09740625E3,9.1033828125E3,4.1729658203E3,-21.088769531E3,8.0128808594E3,9.0792132542E-3,-19.907612354E-3,9.7823310643E-3,10.150130272E0,-21.722828969E-3,6.967196241E-3,3.6061254796E-3,-21.009072661E-3,7.9579474404E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,4.1729658203E3,-21.088769531E3,8.0128808594E3,8.6591123047E3,-20.934056641E3,8.8492021484E3
1.9895448079E-3,2.890807373E3,-20.876417969E3,7.6076020508E3,11.127842773E3,-21.076306641E3,8.7963291016E3,4.4149833984E3,-21.083355469E3,7.7445854492E3,9.3419635668E-3,-19.888918847E-3,9.5001794398E-3,13.442433357E0,-21.796723828E-3,6.6390684806E-3,3.8434087764E-3,-21.005749702E-3,7.6932525262E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,4.4149833984E3,-21.083355469E3,7.7445854492E3,8.9215830078E3,-20.916046875E3,8.5607148438E3
2.0395448079E-3,3.1202094727E3,-20.871507812E3,7.3467773438E3,11.392446289E3,-21.050166016E3,8.4878388672E3,4.6602163086E3,-21.070353516E3,7.4785629883E3,9.6040191129E-3,-19.865885377E-3,9.2172427103E-3,16.733360291E0,-21.864475682E-3,6.3089593314E-3,4.0827048942E-3,-20.995782688E-3,7.4291783385E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,4.6602163086E3,-21.070353516E3,7.4785629883E3,9.1842988281E3,-20.892851562E3,8.2725292969E3
2.0895448079E-3,3.3495053711E3,-20.861634766E3,7.0837827148E3,11.655056641E3,-21.019058594E3,8.1780327148E3,4.9078779297E3,-21.050195312E3,7.21434375E3,9.8650930449E-3,-19.838575274E-3,8.9334389195E-3,20.024263382E0,-21.926121786E-3,5.9769330546E-3,4.3234797195E-3,-20.979482681E-3,7.1654175408E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,4.9078779297E3,-21.050195312E3,7.21434375E3,9.4469384766E3,-20.864603516E3,7.9845297852E3
2.1395448079E-3,3.5785209961E3,-20.846916016E3,6.8186108398E3,11.915578125E3,-20.983013672E3,7.8669892578E3,5.1569223633E3,-21.023431641E3,6.9511987305E3,10.124804452E-3,-19.806973636E-3,8.6485780776E-3,23.316375732E0,-21.981799975E-3,5.6430818513E-3,4.5650140382E-3,-20.95723711E-3,6.9015123881E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,5.1569223633E3,-21.023431641E3,6.9511987305E3,9.7090771484E3,-20.831339844E3,7.6964897461E3
2.1895448079E-3,3.8070317383E3,-20.827470703E3,6.5512871094E3,12.173869141E3,-20.942005859E3,7.5547407227E3,5.4061298828E3,-20.9906875E3,6.6882084961E3,10.382694192E-3,-19.770989195E-3,8.3623966202E-3,26.610612869E0,-22.031717002E-3,5.3075207397E-3,4.8064608127E-3,-20.929479972E-3,6.6368966363E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,5.4061298828E3,-20.9906875E3,6.6882084961E3,9.9702050781E3,-20.793017578E3,7.4080869141E3
2.2395448079E-3,4.0347739258E3,-20.803404297E3,6.2818696289E3,12.429754883E3,-20.895966797E3,7.2412788086E3,5.6542026367E3,-20.952611328E3,6.4243457031E3,10.638262145E-3,-19.730471075E-3,8.0745732412E-3,29.90737915E0,-22.076137364E-3,4.9703847617E-3,5.046911072E-3,-20.896658301E-3,6.3709509559E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,5.6542026367E3,-20.952611328E3,6.4243457031E3,10.22975293E3,-20.749533203E3,7.1189282227E3
2.2895448079E-3,4.2614599609E3,-20.774792969E3,6.0104443359E3,12.683029297E3,-20.844798828E3,6.9265595703E3,5.8998662109E3,-20.909826172E3,6.1585620117E3,10.890991427E-3,-19.685225561E-3,7.7847712673E-3,33.206428528E0,-22.115342319E-3,4.6318210661E-3,5.2854591049E-3,-20.859189332E-3,6.1030518264E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,5.8998662109E3,-20.909826172E3,6.1585620117E3,10.487112305E3,-20.700744141E3,6.8285727539E3
2.3395448079E-3,4.4867963867E3,-20.7416875E3,5.7371240234E3,12.933463867E3,-20.788382812E3,6.6105141602E3,6.1419599609E3,-20.862878906E3,5.8898696289E3,11.140390299E-3,-19.635034725E-3,7.4926596135E-3,36.506790161E0,-22.149601951E-3,4.2919847183E-3,5.5212699808E-3,-20.817432553E-3,5.832624156E-3,11.035540039E3,14.867210938E3,13.731477539E3,13.192416016E3,14.788825195E3,14.636766602E3,6.1419599609E3,-20.862878906E3,5.8898696289E3,10.741666016E3,-20.646507812E3,6.536559082E3
