Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
0.005739545,14396.3291,-7940.017578,-12997.60156,0.015119823,-0.007804869,-0.013257668
0.005789545,14439.17578,-7633.484863,-13207.90137,0.015149855,-0.007498255,-0.013471059
0.005839545,14477.86523,-7325.828125,-13415.4502,0.01517492,-0.007191415,-0.013681831
0.005889545,14512.42871,-7017.088867,-13620.06738,0.015195274,-0.006883949,-0.013889755
0.005939545,14542.93848,-6707.271484,-13821.54395,0.015211277,-0.006575353,-0.014094527
0.005989545,14569.50684,-6396.344727,-14019.65625,0.015223351,-0.006265074,-0.014295797
0.006039545,14592.27539,-6084.243652,-14214.17969,0.015231944,-0.005952573,-0.014493206
0.006089545,14611.4043,-5770.878906,-14404.9043,0.015237478,-0.005637384,-0.014686414
0.006139545,14627.05664,-5456.149902,-14591.65039,0.015240308,-0.005319176,-0.014875146
0.006189545,14639.38672,-5139.958008,-14774.27637,0.015240688,-0.004997802,-0.015059205
0.006239545,14648.52344,-4822.222656,-14952.69434,0.01523874,-0.004673332,-0.015238506
0.006289545,14654.56152,-4502.901856,-15126.86621,0.015234442,-0.004346075,-0.015413078
0.006339545,14657.55078,-4182.004395,-15296.80859,0.015227625,-0.00401657,-0.015583063
0.006389545,14657.49219,-3859.604248,-15462.58398,0.015217992,-0.003685559,-0.0157487
0.006439545,14654.34375,-3535.850342,-15624.29004,0.015205142,-0.003353947,-0.015910305
0.006489545,14648.01953,-3210.968018,-15782.04492,0.015188613,-0.003022736,-0.016068235
0.006539545,14638.40723,-2885.257568,-15935.9707,0.015167923,-0.002692954,-0.016222849
0.006589545,14625.37891,-2559.086426,-16086.17578,0.015142621,-0.002365572,-0.016374474
0.006639545,14608.80469,-2232.874023,-16232.73535,0.015112328,-0.002041432,-0.016523361
0.006689545,14588.56934,-1907.075562,-16375.68164,0.015076787,-0.00172117,-0.016669665
0.006739545,14564.58691,-1582.159058,-16514.99609,0.015035878,-0.001405169,-0.016813414
0.006789545,14536.80664,-1258.58313,-16650.60547,0.014989639,-0.001093516,-0.016954506
0.006839545,14505.22168,-936.7730713,-16782.38086,0.014938266,-0.000785994,-0.017092716
0.006889545,14469.86426,-617.0977783,-16910.1582,0.014882093,-0.000482093,-0.017227702
0.006939545,14430.80371,-299.8492737,-17033.74414,0.014821567,-0.000181044,-0.017359044
0.006989545,14388.13574,14.77492809,-17152.94727,0.014757194,0.000118124,-0.017486282
0.007039545,14341.9668,326.6850586,-17267.58594,0.014689506,0.00041651,-0.017608948
0.007089545,14292.40137,635.9074707,-17377.52344,0.014619,0.000715262,-0.017726623
0.007139545,14239.52246,942.5875855,-17482.67773,0.014546093,0.001015491,-0.017838964
0.007189545,14183.38086,1246.987427,-17583.04297,0.014471084,0.00131819,-0.017945744
0.007239545,14123.98535,1549.477539,-17678.70117,0.014394124,0.001624166,-0.018046869
0.007289545,14061.29297,1850.522949,-17769.81055,0.014315209,0.001933986,-0.018142387
0.007339545,13995.20996,2150.666016,-17856.61914,0.014234178,0.002247944,-0.018232483
0.007389545,13925.60156,2450.503174,-17939.42969,0.014150732,0.002566054,-0.018317454
0.007439545,13852.29492,2750.659912,-18018.5957,0.014064474,0.002888055,-0.018397676
0.007489545,13775.10449,3051.76294,-18094.48242,0.013974945,0.003213455,-0.018473567
0.007539545,13693.8457,3354.411377,-18167.44922,0.013881682,0.003541573,-0.018545544
0.007589545,13608.3584,3659.147949,-18237.80078,0.013784264,0.003871608,-0.018613959
0.007639545,13518.52539,3966.433106,-18305.77148,0.013682364,0.004202703,-0.018679082
0.007689545,13424.29688,4276.621094,-18371.49414,0.013575785,0.004534024,-0.018741043
0.007739545,13325.69824,4589.940918,-18434.9707,0.013464486,0.004864816,-0.018799832
0.007789545,13222.84375,4906.483887,-18496.07227,0.013348595,0.005194461,-0.018855277
0.007839545,13115.93457,5226.196289,-18554.52539,0.013228395,0.005522511,-0.018907063
0.007889545,13005.25488,5548.879883,-18609.92383,0.0131043,0.005848712,-0.018954761
0.007939545,12891.15723,5874.198731,-18661.74219,0.012976815,0.006172993,-0.018997865
0.007989545,12774.03809,6201.692383,-18709.36133,0.01284648,0.006495453,-0.019035837
0.008039545,12654.31543,6530.794922,-18752.10352,0.012713814,0.006816319,-0.019068176
0.008089545,12532.3916,6860.860352,-18789.27734,0.012579254,0.007135899,-0.019094465
0.008139545,12408.62598,7191.1875,-18820.21094,0.012443098,0.007454521,-0.019114425
0.008189545,12283.30176,7521.050781,-18844.30469,0.012305465,0.007772479,-0.019127954
0.008239545,12156.59473,7849.729981,-18861.07422,0.012166265,0.008089975,-0.019135157
0.008289545,12028.56055,8176.538086,-18870.18164,0.012025196,0.008407074,-0.019136349
